Inventāra Nr.	Nosaukums	Autors	Gads	Tehnika	Platums (m)	Augstums (m)	Svars (kg)	Montāžas augstums (m)	Attēla fails
ASN-001	Pavasara strauts	Vilhelms Purvītis	1902	Papīrs, akvarelis	0.35	0.45	4.2	1.40	catalog_images/ASN-001.png
ASN-002	Ganu zēns rīta saulē	Janis Rozentāls	1898	Papīrs, ogle, sangīna	0.40	0.30	3.5	1.50	catalog_images/ASN-002.png
ASN-003	Bērza lapa saulē	Johans Valters	1905	Kartons, eļļa	0.50	0.50	6.0	1.30	catalog_images/ASN-003.png
ASN-004	Dandy ar orhideju	Kārlis Padegs	1931	Papīrs, tuša, akvarelis	0.35	0.50	4.0	1.40	catalog_images/ASN-004.png
ASN-005	Lietus naktī pār pilsētu	Kārlis Padegs	1932	Papīrs, tuša, zīmulis	0.45	0.60	5.5	1.30	catalog_images/ASN-005.png
ASN-006	Bēgles skice	Jēkabs Kazaks	1917	Papīrs, zīmulis, tuša	0.30	0.40	3.2	1.50	catalog_images/ASN-006.png
ASN-007	Itālijas motīvs ar arkādi	Niklāvs Strunke	1924	Papīrs, krāsu litogrāfija	0.55	0.45	6.8	1.40	catalog_images/ASN-007.png
ASN-008	Klusā daba ar pīpi un kausu	Romans Suta	1923	Kartons, tempera	0.40	0.50	5.0	1.40	catalog_images/ASN-008.png
ASN-009	Baletdejotājas portrets	Aleksandra Beļcova	1925	Papīrs, sangīna, pastelis	0.35	0.45	3.8	1.50	catalog_images/ASN-009.png
ASN-010	Dinamiskā pilsēta (Skice)	Gustavs Klucis	1920	Papīrs, fotomontāža, tuša	0.50	0.40	5.2	1.40	catalog_images/ASN-010.png
ASN-011	Pārdaugavas dārzs pavasarī	Konrāds Ubāns	1934	Papīrs, akvarelis	0.45	0.35	4.5	1.40	catalog_images/ASN-011.png
ASN-012	Eksotiskā maska	Voldemārs Matvejs	1912	Kartons, tempera	0.60	0.45	7.5	1.30	catalog_images/ASN-012.png
ASN-013	Polifoniskā arhitektūra	Paul Klee	1930	Papīrs, jaukta tehnika	0.40	0.40	4.8	1.40	catalog_images/ASN-013.png
ASN-014	Mazie pasauļu fragmenti IV	Wassily Kandinsky	1922	Papīrs, krāsu litogrāfija	0.50	0.60	7.0	1.30	catalog_images/ASN-014.png
ASN-015	Kalpotājs ar zelta zivi	Ilmārs Blumbergs	1993	Papīrs, sietspiede, akrils	0.60	0.50	8.2	1.30	catalog_images/ASN-015.png
ASN-016	Kluss rīts darbnīcā	Bruno Vasiļevskis	1976	Kartons, eļļa	0.38	0.48	5.8	1.40	catalog_images/ASN-016.png
ASN-017	Okeāna virsma IV	Vija Celmiņa	1973	Papīrs, grafīts	0.48	0.38	4.6	1.50	catalog_images/ASN-017.png
ASN-018	Pop-art variācija ar ziedu	Henrihs Vorkals	1982	Papīrs, sietspiede	0.55	0.55	7.8	1.30	catalog_images/ASN-018.png
ASN-019	Krusta motīvs un zelta lauks	Boriss Bērziņš	1985	Papīrs, zelta lapiņas, tuša	0.32	0.42	4.0	1.40	catalog_images/ASN-019.png
ASN-020	Parīzes bulvāris lietū	Ludolfs Liberts	1938	Kartons, eļļa, biezs stikls	0.60	0.60	11.5	1.30	catalog_images/ASN-020.png
ASN-021	Pavasara ūdeņi (Martā)	Vilhelms Purvītis	1910	Audekls, eļļa	1.20	0.90	28.0	1.20	catalog_images/ASN-021.png
ASN-022	Ziemas ainava ar sarmu	Vilhelms Purvītis	1914	Audekls, eļļa	1.40	1.00	36.0	1.10	catalog_images/ASN-022.png
ASN-023	No baznīcas	Janis Rozentāls	1894	Audekls, eļļa	1.10	1.40	38.0	1.10	catalog_images/ASN-023.png
ASN-024	Mākslinieka darbnīcā	Janis Rozentāls	1908	Audekls, eļļa	1.00	1.20	32.0	1.20	catalog_images/ASN-024.png
ASN-025	Tirgus Jelgavā	Johans Valters	1897	Audekls, eļļa	1.30	0.95	30.0	1.10	catalog_images/ASN-025.png
ASN-026	Ziedošās pļavas	Voldemārs Matvejs	1911	Audekls, eļļa	0.90	1.10	22.0	1.20	catalog_images/ASN-026.png
ASN-027	Bēgļi	Jēkabs Kazaks	1917	Audekls, eļļa	1.20	1.20	35.0	1.10	catalog_images/ASN-027.png
ASN-028	Cilvēks, kas ieiet istabā	Niklāvs Strunke	1927	Audekls, eļļa	0.85	1.15	26.0	1.20	catalog_images/ASN-028.png
ASN-029	Krogs ar muzikantiem	Romans Suta	1920	Audekls, eļļa	1.05	0.85	24.0	1.20	catalog_images/ASN-029.png
ASN-030	Baltā un melnā	Aleksandra Beļcova	1925	Audekls, eļļa	1.00	1.30	34.0	1.10	catalog_images/ASN-030.png
ASN-031	Sieviete ar krūzi	Valdemārs Tone	1928	Audekls, eļļa	0.95	1.20	27.0	1.20	catalog_images/ASN-031.png
ASN-032	Daugavmalas ainava	Konrāds Ubāns	1937	Audekls, eļļa	1.35	0.90	33.0	1.10	catalog_images/ASN-032.png
ASN-033	Klusā daba ar ceriņiem	Leo Svemps	1955	Audekls, eļļa	1.15	0.95	29.0	1.20	catalog_images/ASN-033.png
ASN-034	Lauku darbi vakarā	Ģederts Eliass	1930	Audekls, eļļa	1.40	1.10	42.0	1.10	catalog_images/ASN-034.png
ASN-035	Venēcijas gondolas saulrietā	Ludolfs Liberts	1935	Audekls, eļļa	1.25	1.05	37.0	1.10	catalog_images/ASN-035.png
ASN-036	Brīvības vēsma	Jānis Pauļuks	1947	Audekls, eļļa	1.10	1.30	36.0	1.10	catalog_images/ASN-036.png
ASN-037	Felicita ar ziediem	Jānis Pauļuks	1958	Audekls, eļļa	0.90	1.20	28.0	1.20	catalog_images/ASN-037.png
ASN-038	Tautas dziesma	Džemma Skulme	1969	Audekls, eļļa	1.20	1.20	38.0	1.10	catalog_images/ASN-038.png
ASN-039	Kompozīcija ar vertikālēm	Ojārs Ābols	1972	Audekls, akrils, reljefs	1.00	1.40	46.0	1.10	catalog_images/ASN-039.png
ASN-040	Pelēkā zivs uz dēļa	Boriss Bērziņš	1978	Kartons uz koka paneļa, eļļa	0.85	1.05	34.0	1.20	catalog_images/ASN-040.png
ASN-041	Baltais galds ar traukiem	Bruno Vasiļevskis	1979	Audekls, eļļa	1.10	0.80	22.0	1.30	catalog_images/ASN-041.png
ASN-042	Sapnis par bronzas jātnieku	Miervaldis Polis	1983	Audekls, eļļa	1.30	1.00	33.0	1.20	catalog_images/ASN-042.png
ASN-043	Lietaina Rīgas iela	Līga Purmale	1980	Audekls, eļļa	1.20	0.95	29.0	1.20	catalog_images/ASN-043.png
ASN-044	Vakara serenāde	Juris Jurjāns	1988	Audekls, eļļa	1.05	1.25	31.0	1.10	catalog_images/ASN-044.png
